question,answer,correct_answer
"Câu 1: Sau Chiến tranh thế giới thứ hai, quốc gia nào đề ra chiến lược toàn cầu?",A. Nhật Bản. B. Anh. C. Pháp. D. Mĩ.,D
Câu 2: Một trong những thành tựu Việt Nam đạt được trong 5 năm đầu của công cuộc đổi mới (1986-1990) là,"A. hoàn thành công nghiệp hóa đất nước. B. chấm dứt tình trạng lạm phát.
C. có lương thực dự trữ và xuất khẩu. D. hoàn thành hiện đại hóa đất nước.",C
"Câu 3: Trong cuộc khai thác thuộc địa lần thứ hai ở Đông Dương (1919-1929), thực dân Pháp chú trọng đầu tư vào","A. công nghiệp luyện kim. B. công nghiệp hóa chất.
C. chế tạo máy. D. khai thác mỏ.",D
"Câu 4: Ngày 2-9-1945, tại Quảng trường Ba Đình (Hà Nội), Chủ tịch Hồ Chí Minh","A. đọc bản Tuyên ngôn Độc lập. B. phát lệnh Tổng khởi nghĩa.
C. công bố Chỉ thị Toàn dân kháng chiến. D. đọc Lời kêu gọi toàn quốc kháng chiến.",A
Câu 5: Đảng Bônsêvích quyết định thực hiện Chính sách kinh tế mới (1921) trong bối cảnh nước Nga Xô viết đã,"A. hoàn thành nhiệm vụ công nghiệp hóa.
B. bước vào thời kì hòa bình xây dựng đất nước.
C. hoàn thành công cuộc khôi phục kinh tế.
D. hoàn thành công cuộc tập thể hóa nông nghiệp.",B
"Câu 6: Tháng 3-1929, tổ chức nào được thành lập tại số nhà 5D, phố Hàm Long (Hà Nội)?","A. Hội Việt Nam Cách mạng Thanh niên. B. Chi bộ Cộng sản đầu tiên.
C. Đông Dương Cộng sản liên đoàn. D. Việt Nam Quốc dân đảng.",B
"Câu 7: Năm 1960, phong trào giải phóng dân tộc ở châu Phi giành được thắng lợi nào sau đây?","A. 17 nước được trao trả độc lập.
B. Tất cả các nước châu Phi giành được độc lập.
C. Nước Cộng hòa Dimbabuê ra đời.
D. Chế độ phân biệt chủng tộc bị xóa bỏ.",A
"Câu 8: Ngày 6-3-1946, đại diện Chính phủ Việt Nam Dân chủ Cộng hòa kí với đại diện Chính phủ Pháp văn bản ngoại giao nào sau đây?","A. Hiệp định Giơnevơ về Đông Dương. B. Tạm ước Việt-Pháp.
C. Hiệp định Pari về Việt Nam. D. Hiệp định Sơ bộ.",D
"Câu 9: Nhân dân Việt Nam thực hiện nhiệm vụ chống chế độ phản động thuộc địa, chống phát xít, chống chiến tranh trong phong trào nào sau đây?","A. Phong trào dân tộc dân chủ 1925-1930. B. Phong trào cách mạng 1930-1931.
C. Phong trào dân tộc dân chủ 1919-1925. D. Phong trào dân chủ 1936-1939.",D
Câu 10: Chiến thắng Vạn Tường (1965) của quân dân miền Nam Việt Nam mở đầu cao trào đấu tranh nào sau đây?,"A. Một tấc không đi, một li không rời. B. Tìm Mĩ mà đánh, lùng ngụy mà diệt.
C. Chống Mĩ bình định, lấn chiếm. D. Phá ấp chiến lược, lập làng chiến đấu.",B
Câu 11: Liên Xô thực hiện công cuộc khôi phục kinh tế (1945-1950) trong bối cảnh,"A. bị quân đội các nước đế quốc tấn công.
B. chịu tổn thất nặng nề do chiến tranh.
C. chính quyền Xô viết vừa được thành lập.
D. vừa hoàn thành cách mạng giải phóng dân tộc.",B
Câu 12: Phong trào Đồng khởi (1959-1960) ở miền Nam Việt Nam thắng lợi dẫn đến sự ra đời của,"A. Mặt trận Liên hiệp quốc dân Việt Nam.
B. Mặt trận Thống nhất dân tộc phản đế Đông Dương.
C. Mặt trận Dân tộc giải phóng miền Nam Việt Nam.
D. Mặt trận Việt Nam độc lập đồng minh.",C
Câu 13: Hiệp hước Patơnốt (1984) được kí kết giữa triều đình nhà Nguyễn với thực dân Pháp đã,"A. chấm dứt sự tồn tại của chế độ quân chủ chuyên chế ở Việt Nam.
B. đánh dấu sự ra đời nhà nước quân chủ lập hiến ở Việt Nam.
C. mở đầu quá trình đầu hàng của nhà nước phong kiến Việt Nam.
D. chấm dứt sự tồn tại của nhà nước phong kiến độc lập ở Việt Nam.",D
"Câu 14: Với chiến thắng Ấp Bắc (1-1963), quân dân miền Nam Việt Nam bước đầu làm thất bại các chiến thuật nào của Mĩ?","A. Tìm diệt và bình định. B. Tìm diệt và lấn chiếm.
C. Trực thăng vận và thiết xa vận. D. Lấn chiếm và tràn ngập lãnh thổ.",C
Câu 15: Nội dung nào sau đây là ý nghĩa của việc hoàn thành thống nhất đất nước về mặt nhà nước ở Việt Nam (1975-1976)?,"A. Đánh dấu việc hoàn thành thống nhất đất nước trên tất cả lĩnh vực.
B. Tạo điều kiện chính trị cơ bản để tăng cường sức mạnh của đất nước.
C. Đánh dấu cuộc cách mạng xã hội chủ nghĩa ở Việt Nam đã hoàn thành.
D. Đáp ứng được điều kiện để Việt Nam gia nhập tổ chức ASEAN.",B
"Câu 16: Về đối ngoại, từ năm 1945 đến năm 1973, Mĩ đạt được kết quả nào sau đây?","A. Thiết lập và duy trì được trật tự thế giới “một cực”.
B. Xây dựng được căn cứ quân sự ở tất cả các nước.
C. Mở rộng được phạm vi ảnh hưởng ở nhiều nơi trên thế giới.
D. Duy trì được ách thống trị ở tất cả các thuộc địa trên thế giới.",C
Câu 17: Hiệp ước Bali (2-1976) của Hiệp hội các quốc gia Đông Nam Á (ASEAN) đã,"A. thông qua quyết định kết nạp Miama vào ASEAN.
B. tuyên bố xây dựng thành công Cộng đồng ASEAN thống nhất, vững mạnh.
C. xác định những nguyên tắc cơ bản trong quan hệ giữa các nước ASEAN.
D. thông qua quyết định kết nạp Brunây vào ASEAN.",C
Câu 18: Cuộc tiến công chiến lược năm 1972 của quân dân Việt Nam buộc Mĩ phải thừa nhận sự thất bại của chiến lược nào sau đây?,"A. Chiến tranh đặc biệt. B. Việt Nam hóa chiến tranh.
C. Chiến tranh cục bộ. D. Phản ứng linh hoạt.",B
"Câu 19: Ở Việt Nam, Mặt trận Thống nhất nhân dân phản đế Đông Dương tập hợp quần chúng đấu tranh trong phong trào nào sau đây?","A. Phong trào dân tộc dân chủ 1919-1930.
B. Phong trào giải phóng dân tộc 1939-1945.
C. Phong trào cách mạng 1930-1931.
D. Phong trào dân chủ 1936-1939.",D
